smiles,Cation,Anion,Melting point (K)
Cn1cc[nH+]c1.[Br-],Cn1cc[nH+]c1,[Br-],314.15
Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],Cn1cc[nH+]c1,[O-][Cl+3]([O-])([O-])[O-],430.15
Cn1cc[nH+]c1.F[B-](F)(F)F,Cn1cc[nH+]c1,F[B-](F)(F)F,310.15
Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,282.15
Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Cn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,284.15
Cn1cc[nH+]c1.O=[N+]([O-])[O-],Cn1cc[nH+]c1,O=[N+]([O-])[O-],343.15
Cn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,Cn1cc[nH+]c1,O=S(=O)([O-])C(F)(F)F,357.15
Cn1cc[nH+]c1.F[P-](F)(F)(F)(F)F,Cn1cc[nH+]c1,F[P-](F)(F)(F)(F)F,389.15
Cn1cc[nH+]c1.O=C([O-])C(F)(F)F,Cn1cc[nH+]c1,O=C([O-])C(F)(F)F,324.15
CC(=O)[O-].Cn1cc[nH+]c1,Cn1cc[nH+]c1,CC(=O)[O-],250.15
CCn1cc[nH+]c1.[Cl-],CCn1cc[nH+]c1,[Cl-],331.15
CCn1cc[nH+]c1.[Br-],CCn1cc[nH+]c1,[Br-],333.15
CCn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],CCn1cc[nH+]c1,[O-][Cl+3]([O-])([O-])[O-],294.15
CCn1cc[nH+]c1.O=[N+]([O-])[O-],CCn1cc[nH+]c1,O=[N+]([O-])[O-],304.15
CCn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,CCn1cc[nH+]c1,O=S(=O)([O-])C(F)(F)F,281.15
Cn1cc[n+](C)c1.[Cl-],Cn1cc[n+](C)c1,[Cl-],398.15
Cn1cc[n+](C)c1.F[B-](F)(F)F,Cn1cc[n+](C)c1,F[B-](F)(F)F,376.15
Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,295.15
Cn1cc[n+](C)c1.O=C([O-])C(F)(F)F,Cn1cc[n+](C)c1,O=C([O-])C(F)(F)F,325.15
Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)F,Cn1cc[n+](C)c1,F[B-](F)(F)C(F)(F)F,288.15
Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,Cn1cc[n+](C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F,300.15
Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,Cn1cc[n+](C)c1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,284.15
